id,accident_risk
517754,0.29211465
517755,0.12348612
517756,0.18645297
517757,0.3205849
517758,0.40794262
517759,0.4595196
517760,0.25898206
517761,0.19774255
517762,0.3661675
517763,0.3256789
517764,0.07957976
517765,0.19609843
517766,0.30817676
517767,0.26497826
517768,0.17593049
517769,0.3123058
517770,0.30543286
517771,0.30991104
517772,0.08629306
517773,0.25337407
517774,0.37385932
517775,0.6088175
517776,0.12889184
517777,0.21620722
517778,0.40915313
517779,0.28108612
517780,0.37580207
517781,0.3428628
517782,0.29363894
517783,0.30309924
517784,0.2982051
517785,0.25761646
517786,0.46794525
517787,0.3506917
517788,0.3290873
517789,0.14516063
517790,0.29500625
517791,0.30994785
517792,0.70790267
517793,0.18595177
517794,0.109840825
517795,0.31009263
517796,0.12841249
517797,0.09176573
517798,0.48561615
517799,0.15721679
517800,0.3069269
517801,0.33017763
517802,0.3328159
517803,0.3171719
517804,0.2930806
517805,0.76918066
517806,0.2745868
517807,0.54125947
517808,0.41871476
517809,0.2944676
517810,0.49578762
517811,0.41050753
517812,0.36304903
517813,0.6067184
517814,0.5471561
517815,0.037334245
517816,0.5672666
517817,0.16578694
517818,0.5624943
517819,0.5786322
517820,0.31491092
517821,0.16410215
517822,0.049360067
517823,0.19252509
517824,0.12468925
517825,0.35736883
517826,0.29530227
517827,0.52100295
517828,0.59865695
517829,0.4621653
517830,0.66393155
517831,0.1941874
517832,0.19406651
517833,0.30396268
517834,0.42097664
517835,0.3138775
517836,0.360869
517837,0.30581784
517838,0.3729028
517839,0.6350347
517840,0.40967143
517841,0.113621004
517842,0.4250268
517843,0.4890725
517844,0.12623324
517845,0.19125283
517846,0.42110994
517847,0.11042748
517848,0.48151988
517849,0.37213254
517850,0.15251316
517851,0.19061624
517852,0.10804811
517853,0.5585715
517854,0.3146894
517855,0.47828197
517856,0.33647576
517857,0.12940072
517858,0.23970188
517859,0.4279484
517860,0.5062261
517861,0.75291544
517862,0.5036486
517863,0.3937588
517864,0.2995762
517865,0.3136788
517866,0.4861165
517867,0.49069643
517868,0.18340205
517869,0.30745247
517870,0.35786355
517871,0.44335055
517872,0.3470706
517873,0.14346394
517874,0.39644384
517875,0.18444172
517876,0.22282499
517877,0.2770171
517878,0.24074307
517879,0.36788782
517880,0.4118204
517881,0.28166
517882,0.36113557
517883,0.089392975
517884,0.5438289
517885,0.062277425
517886,0.4956417
517887,0.5680254
517888,0.32274723
517889,0.32558578
517890,0.27990666
517891,0.64165485
517892,0.6163606
517893,0.15448484
517894,0.35833588
517895,0.60489964
517896,0.57516724
517897,0.29799837
517898,0.13702668
517899,0.36781293
517900,0.30653924
517901,0.31595594
517902,0.1545717
517903,0.30330098
517904,0.035219204
517905,0.36501256
517906,0.44777846
517907,0.56634897
517908,0.29183674
517909,0.05328472
517910,0.22633271
517911,0.48837382
517912,0.38833427
517913,0.3590375
517914,0.7206526
517915,0.15894637
517916,0.5196798
517917,0.3204081
517918,0.34177646
517919,0.5568524
517920,0.15541746
517921,0.30120137
517922,0.43359506
517923,0.72166234
517924,0.31753096
517925,0.31284875
517926,0.14913893
517927,0.6452858
517928,0.23858552
517929,0.45857334
517930,0.27060142
517931,0.35854614
517932,0.322274
517933,0.37427586
517934,0.6548105
517935,0.17918554
517936,0.6896569
517937,0.31018975
517938,0.4721499
517939,0.46987617
517940,0.42165393
517941,0.46841788
517942,0.32878625
517943,0.3060394
517944,0.041188024
517945,0.3038454
517946,0.091319844
517947,0.47065446
517948,0.5809307
517949,0.30668482
517950,0.1313941
517951,0.34361246
517952,0.35288152
517953,0.3916915
517954,0.30697805
517955,0.46578908
517956,0.24264626
517957,0.34376293
517958,0.66362214
517959,0.2215808
517960,0.12915048
517961,0.6699014
517962,0.32120532
517963,0.14054021
517964,0.49395064
517965,0.34143618
517966,0.06440482
517967,0.1861822
517968,0.71304995
517969,0.6320881
517970,0.29253498
517971,0.2811551
517972,0.35583505
517973,0.3175644
517974,0.45183042
517975,0.47282168
517976,0.3121784
517977,0.08351944
517978,0.26282224
517979,0.3817266
517980,0.27234855
517981,0.06832335
517982,0.33874694
517983,0.27850696
517984,0.11337558
517985,0.22414988
